"id","subject","stem","A","B","C","D","E","correct","explanation"
"1","ovarian_masses","A 14-year-old postmenarchal girl presents with 12 hours of right lower quadrant pain and nausea. She is afebrile; WBC 8.5; beta-hCG negative. Pelvic ultrasound shows an enlarged right ovary (5.2 cm) with heterogeneous echotexture and peripheral follicles; arterial/venous Doppler signals are equivocal. What is the next best step in management?","Observe with NSAIDs and repeat ultrasound in 24–48 hours","Immediate diagnostic laparoscopy with detorsion if torsion is identified","CT abdomen/pelvis to evaluate for appendicitis","Start combined oral contraceptives to suppress functional cysts","Schedule elective oophorectomy in 1–2 weeks","B","Correct answer: B — Immediate diagnostic laparoscopy with detorsion if torsion is identified.
Rationale: Ovarian torsion is a time-sensitive clinical diagnosis. Ultrasound with Doppler is helpful but not definitive: normal flow does not exclude torsion due to dual arterial supply and intermittent torsion–detorsion. In an adolescent with acute pain and an enlarged echogenic ovary, prompt laparoscopy is indicated to salvage ovarian function. Operative priorities are detorsion, assessment for mass or hemorrhage, peritoneal washings if a tumor is suspected, and careful inspection of the peritoneal surfaces/omentum/diaphragm for implants if a neoplasm is present. Ovarian preservation is the rule—even a dusky, edematous ovary can recover. If a benign-appearing cyst is present, perform cystectomy or defer resection until tissue planes improve; avoid blind oophorectomy.
Incorrect options: Observation (A) risks ischemic loss. CT for appendicitis (C) adds radiation and delays definitive management of a gynecologic emergency. OCPs (D) neither treat torsion nor prevent it. Elective oophorectomy (E) is overtreatment and violates fertility-preserving principles.
Key point: Equivocal Doppler does not rule out torsion; clinical judgment favors urgent laparoscopy to preserve the ovary."
"2","ovarian_masses","A 13-year-old with a 7-cm complex adnexal mass is scheduled for surgery. Which laboratory panel is most appropriate to obtain preoperatively if feasible?","CBC and CMP only","AFP, beta-hCG, and CA-125 (± CA 19-9 if mucinous tumor suspected)","LDH and ESR","Estradiol and progesterone levels","No laboratory tests are required since malignancy is rare","B","Correct answer: B — AFP, beta-hCG, and CA-125 (consider CA 19-9 if mucinous tumor suspected).
Rationale: Tumor markers inform intraoperative decisions (extent of resection, spill avoidance) and guide surveillance. AFP suggests yolk sac elements; beta-hCG suggests choriocarcinoma/mixed GCT; CA-125 can be elevated in epithelial malignancy and occasionally GCT; CA 19-9 may rise with mucinous epithelial tumors. Draw markers before anesthesia if possible but do not delay urgent exploration for results.
Incorrect options: CBC/CMP (A) omit disease-defining markers. LDH/ESR (C) lack specificity. Sex steroids (D) are not useful for a solid/complex mass differential. Skipping markers (E) forfeits crucial baseline data that shape staging and follow-up.
Pearl: Marker elevation (AFP or hCG) generally shifts strategy toward salpingo-oophorectomy with staging rather than ovarian-sparing surgery."
"3","ovarian_masses","During laparoscopy for a suspected ovarian germ cell tumor in a 12-year-old, which steps constitute appropriate pediatric staging?","Peritoneal washings; thorough inspection of peritoneal surfaces, omentum, diaphragm, and liver; biopsy/resection of suspicious lesions; inspect contralateral ovary","Systematic pelvic and para-aortic lymphadenectomy in all cases","Mandatory omentectomy and pelvic nodal sampling regardless of findings","Frozen section biopsy of the contralateral ovary even if normal","Peritoneal washings only","A","Correct answer: A — Washings, comprehensive inspection, targeted biopsies, and contralateral inspection.
Rationale: COG-style pediatric germ cell staging emphasizes washings and visual survey of the entire peritoneal cavity, omentum, and upper abdomen with biopsy or removal of any suspicious lesions. Routine lymphadenectomy or omentectomy is not required for all pediatric GCTs. The contralateral ovary should be carefully inspected but not biopsied unless abnormal.
Incorrect options: Routine lymphadenectomy (B) and mandatory omentectomy/nodal sampling (C) reflect adult epithelial cancer practice (FIGO), not pediatric GCT. Frozen section of a normal opposite ovary (D) jeopardizes fertility without benefit. Washings alone (E) are inadequate.
Practice tip: Use a retrieval bag and avoid tumor spill if malignancy is suspected."
"4","ovarian_masses","A 14-year-old has persistent pelvic pain 4 weeks after detorsion with no discrete mass intraoperatively. Ultrasound shows an enlarged ovary without clear lesion. What is the best next study?","Contrast-enhanced CT of the abdomen/pelvis","MRI pelvis with and without fat-suppressed sequences","Nuclear medicine bone scan","Repeat ultrasound immediately","Proceed to oophorectomy for definitive therapy","B","Correct answer: B — MRI pelvis with and without fat-suppressed sequences.
Rationale: MRI offers superior soft-tissue characterization and can differentiate hemorrhagic/resolving functional changes from neoplasm. Fat suppression identifies macroscopic fat highly suggestive of mature cystic teratoma. MRI also delineates planes to assess feasibility of ovarian-sparing enucleation.
Incorrect options: CT (A) adds radiation without better tissue characterization. Immediate repeat US (D) is low yield after multiple equivocal studies. Bone scan (C) is irrelevant. Oophorectomy (E) contradicts ovarian-preserving principles in the absence of malignancy.
Pearl: MRI confirmation of a small fat-containing lesion supports planned ovarian-sparing resection via controlled approach."
"5","ovarian_masses","A 15-year-old with MRI-proven 3.6-cm right ovarian dermoid, normal AFP/beta-hCG. Preferred operative strategy?","Laparoscopic salpingo-oophorectomy to avoid rupture","Pfannenstiel minilaparotomy (or contained laparoscopy) with ovarian-sparing enucleation","Midline laparotomy and hysterectomy","Expectant management only","Cyst aspiration and cauterization of the cavity","B","Correct answer: B — Ovarian-sparing enucleation via Pfannenstiel minilaparotomy or contained laparoscopy.
Rationale: For benign dermoids, the standard is ovarian preservation with careful enucleation and spill minimization (use a retrieval bag; consider extracorporeal cystotomy within the bag if needed). Small transverse incision provides tactile control; laparoscopy is acceptable if containment is ensured.
Incorrect options: Oophorectomy (A) sacrifices fertility unnecessarily. Hysterectomy (C) is inappropriate. Observation alone (D) risks growth/torsion. Aspiration (E) leads to recurrence and chemical peritonitis.
Technical tip: Dissect along the capsular plane and reconstruct the ovarian remnant to preserve function."
"6","ovarian_masses","Pathology handling of a 4-cm ovarian teratoma from a 12-year-old should include which approach?","One representative section of the cyst wall is sufficient","Sample at least one section per centimeter of maximal diameter to assess for immature/malignant elements","Sample only calcified or hairy areas","No histology is required for small dermoids","Frozen section alone is sufficient","B","Correct answer: B — ≥1 section per centimeter of tumor.
Rationale: Teratomas are heterogeneous; malignant or immature components may be focal. Generous sampling prevents understaging. Pediatric immature teratomas (stage I) may be managed with surgery alone, but detection of yolk sac elements (AFP-elevating) changes management.
Incorrect options: Limited sampling (A,C) risks missing key elements. Skipping histology (D) is unsafe. Frozen section alone (E) lacks reliability for final grading.
Clinical impact: Pathology guides surveillance and the need for adjuvant therapy."
"7","ovarian_masses","After ovarian-sparing resection of a mature cystic teratoma with normal markers, which follow-up is most appropriate?","No follow-up after complete excision","Annual pelvic ultrasound (after a 6-month check) and counseling regarding contralateral metachronous risk","Quarterly AFP and beta-hCG for 5 years","Adjuvant chemotherapy due to recurrence risk","Prophylactic contralateral oophorectomy","B","Correct answer: B — Ultrasound surveillance and counseling.
Rationale: Ipsilateral recurrence is uncommon, but metachronous contralateral dermoids occur (roughly 10–20% long term). Routine markers are unhelpful if baseline normal. Ultrasound at ~6 months and then annually is reasonable.
Incorrect options: No follow-up (A) misses contralateral disease. Marker surveillance (C) is not informative. Chemotherapy (D) is not indicated for benign lesions. Prophylactic oophorectomy (E) is harmful and unnecessary.
Counseling: Educate on torsion symptoms and the plan for future pregnancy/fertility."
"8","ovarian_masses","A 15-year-old with recurrent functional cysts asks whether combined oral contraceptives will prevent new cysts. Best evidence-based counsel?","OCPs clearly prevent functional cysts; start therapy","OCPs have not shown reduction in incidence and should not be used solely for cyst prevention","OCPs increase torsion risk","OCPs are contraindicated after dermoid cystectomy","OCPs prevent contralateral metachronous dermoids","B","Correct answer: B — OCPs are not proven to prevent functional cysts.
Rationale: Data do not support OCPs as prophylaxis for functional cyst formation in adolescents. They can be prescribed for contraception or dysmenorrhea but not solely to prevent cysts or torsion.
Incorrect options: Claims in (A,C,D,E) are unsupported.
Takeaway: Observation and interval imaging are appropriate for simple asymptomatic cysts; intervene if persistent/enlarging/symptomatic."
"9","ovarian_masses","A 15-year-old with ovarian mass rupture intraoperatively is found to have multiple peritoneal glial nodules; markers are normal; final pathology: immature teratoma without malignant germ cell elements. Which statement is most accurate?","Peritoneal glial implants represent metastasis and upstage the tumor","Glial implants (gliomatosis peritonei) are benign/metaplastic and do not upstage","All immature teratomas require adjuvant chemotherapy","Spillage invariably worsens pediatric outcomes","Contralateral oophorectomy is recommended","B","Correct answer: B — Gliomatosis peritonei is benign and does not upstage.
Rationale: Glial implants after dermoid rupture represent benign metaplasia rather than metastasis. In pediatric series, stage I immature teratomas—even high grade—are often treated with surgery alone; chemotherapy is reserved for malignant elements or advanced stage. Minimize spill, but pediatric outcomes are not clearly worsened by isolated spillage.
Incorrect options: (A) misinterprets biology; (C) over-treats; (D) overstates spill impact; (E) is harmful.
Management: Surveillance with imaging and clinical follow-up; address symptoms if chemical peritonitis develops."
"10","ovarian_masses","A 13-year-old has an ovarian mass with imaging suggestive of teratoma; AFP is 145 ng/mL (elevated), beta-hCG normal. No extra-ovarian disease on imaging. Optimal operative plan?","Ovarian-sparing enucleation","Salpingo-oophorectomy with careful staging and spill avoidance","Percutaneous aspiration for decompression before surgery","Biopsy now, neoadjuvant chemotherapy, then resection","Laparoscopic cyst unroofing","B","Correct answer: B — Salpingo-oophorectomy with staging.
Rationale: Elevated AFP suggests yolk sac tumor elements (malignant teratoma). Ovarian-sparing surgery risks residual malignancy and spill. Perform salpingo-oophorectomy with washings, comprehensive inspection, targeted biopsies, and retrieval bag extraction.
Incorrect options: Enucleation/unroofing (A,E) are inappropriate oncologically. Aspiration (C) risks seeding. Biopsy-first (D) is unnecessary and increases spill risk.
Postoperative plan: AFP kinetics guide surveillance; adjuvant therapy reserved for residual/advanced disease."
"11","ovarian_masses","A phenotypic 12-year-old girl with primary amenorrhea and a solid ovarian mass has karyotype 46,XY gonadal dysgenesis. Which tumor type is classically associated?","Dysgerminoma","Yolk sac tumor","Mucinous cystadenoma","Granulosa cell tumor","Thecoma","A","Correct answer: A — Dysgerminoma.
Rationale: Dysgerminoma, the ovarian counterpart of seminoma, is linked to dysgenetic gonads and may present with LDH elevation; AFP/hCG are typically normal unless mixed. Management involves unilateral salpingo-oophorectomy with staging. Consider endocrinology/genetics for gonadal dysgenesis.
Incorrect options: Yolk sac tumor (B) elevates AFP; mucinous epithelial tumor (C) is unrelated to dysgenesis; granulosa (D) and thecoma (E) are sex cord–stromal with estrogenic effects, not typically associated with 46,XY.
Fertility/endocrine issues deserve multidisciplinary planning."
